H,M,S,draws
0,3,9,2.582879652717076e-305
0,3,10,2.5828796537073406e-305
0,3,11,2.5828796546976054e-305
0,3,12,2.58287965568787e-305
0,3,13,2.582879656678135e-305
0,3,14,2.5828796576683997e-305
0,3,15,2.5828796586586645e-305
0,3,16,2.5828796596489293e-305
0,3,17,2.5828796606391935e-305
0,3,18,2.5828796616294583e-305
0,3,19,2.582879662619723e-305
0,3,20,2.5828796636099883e-305
0,3,21,2.5828796646002526e-305
0,3,22,2.5828796655905174e-305
0,3,23,2.582879666580782e-305
0,3,24,2.5828796675710474e-305
0,3,25,2.582879668561311e-305
0,3,26,2.582879669551576e-305
0,3,27,2.582879670541841e-305
0,3,28,2.5828796715321055e-305
0,3,29,2.582879672522371e-305
0,3,30,2.5828796735126355e-305
0,3,31,2.5828796447949587e-305
0,3,32,2.5828796457852235e-305
0,3,33,2.582879646775488e-305
0,3,34,2.582879647765753e-305
0,3,35,2.582879648756018e-305
0,3,36,2.5828796497505637e-305
0,3,37,2.582879650740834e-305
0,3,38,2.5828796517310937e-305
0,3,39,2.582879652721358e-305
0,3,40,2.582879653711623e-305
0,3,41,2.5828796547018875e-305
0,3,42,2.5828796556921523e-305
0,3,43,2.582879656682417e-305
0,3,44,2.582879657672711e-305
0,3,45,2.582879658662947e-305
0,3,46,2.5828796596489293e-305
0,3,47,2.5828796606391935e-305
0,3,48,2.5828796616294583e-305
0,3,49,2.582879662619723e-305
0,3,50,2.582879663609988e-305
0,3,51,2.582879664600376e-305
0,3,52,2.5828796655905563e-305
0,3,53,2.582879666580969e-305
0,3,54,2.5828796675710717e-305
0,3,55,0.0013522222222222223
0,3,56,0.0013522222222222223
0,3,57,0.0013522222222222223
0,3,58,0.0013522222222222223
0,3,59,0.0013522222222222223
0,4,0,0.0013522222222222223
0,4,1,0.0013522222222222223
0,4,2,0.0013522222222222223
0,4,3,0.0013522222222222223
0,4,4,0.0013522222222222223
0,4,5,0.0013522222222222223
0,4,6,0.0013522222222222223
0,4,7,0.0013522222222222223
0,4,8,0.0013522222222222223
0,4,9,0.0013522222222222223
0,4,10,0.0013522222222222223
0,4,11,0.0013522222222222223
0,4,12,0.0013522222222222223
0,4,13,0.0013522222222222223
0,4,14,0.0013522222222222223
0,4,15,0.0013522222222222223
0,4,16,0.0013522222222222223
0,4,17,0.0013522222222222223
0,4,18,0.0013522222222222223
0,4,19,0.0013522222222222223
0,4,20,0.0013522222222222223
0,4,21,0.0013522222222222223
0,4,22,0.0013522222222222223
0,4,23,0.0013522222222222223
0,4,24,0.0013522222222222223
0,4,25,0.0013522222222222223
0,4,26,0.0013522222222222223
0,4,27,0.0013522222222222223
0,4,28,0.0013522222222222223
0,4,29,0.0013522222222222223
0,4,30,0.0013522222222222223
0,4,31,0.0013522222222222223
0,4,32,0.0013522222222222223
0,4,33,0.0013522222222222223
0,4,34,0.0013522222222222223
0,4,35,0.0013522222222222223
0,4,36,0.0013522222222222223
0,4,37,0.0013522222222222223
0,4,38,0.0013522222222222223
0,4,39,0.0013522222222222223
0,4,40,0.0013522222222222223
0,4,41,0.0013522222222222223
0,4,42,0.0013522222222222223
0,4,43,0.0013522222222222223
0,4,44,0.0013522222222222223
0,4,45,0.0013522222222222223
0,4,46,0.0013522222222222223
0,4,47,0.0013522222222222223
0,4,48,0.0013522222222222223
0,4,49,0.0013522222222222223
0,4,50,0.0013522222222222223
0,4,51,0.0013522222222222223
0,4,52,0.0013522222222222223
0,4,53,0.0013522222222222223
0,4,54,0.0013522222222222223
0,4,55,0.0013522222222222223
0,4,56,0.0013522222222222223
0,4,57,0.0013522222222222223
0,4,58,0.0013522222222222223
0,4,59,0.0013522222222222223
0,5,0,0.0013522222222222223
0,5,1,0.0013522222222222223
0,5,2,0.0013522222222222223
0,5,3,0.0013522222222222223
0,5,4,0.0013522222222222223
0,5,5,0.0013522222222222223
0,5,6,2.5828796497462816e-305
0,5,7,2.5828796507365463e-305
0,5,8,2.582879651726811e-305
0,5,9,2.5828796527170754e-305
0,5,10,2.582879653707383e-305
0,5,11,2.58287965469764e-305
0,5,12,2.5828796556879354e-305
0,5,13,2.5828796566781754e-305
0,5,14,2.582879657668416e-305
0,5,15,2.5828796586586807e-305
0,5,16,2.5828796596489454e-305
0,5,17,2.5828796606392097e-305
0,5,18,2.5828796616294745e-305
0,5,19,2.582879662619739e-305
0,5,20,2.5828796636100273e-305
0,5,21,2.582879664600292e-305
0,5,22,2.582879665590557e-305
0,5,23,2.5828796665808504e-305
0,5,24,2.582879667571087e-305
0,5,25,2.5828796685613516e-305
0,5,26,2.5828796695516164e-305
0,5,27,2.58287967054191e-305
0,5,28,2.582879671532142e-305
0,5,29,2.5828796725224067e-305
0,5,30,2.5828796735126715e-305
0,5,31,2.582879644794995e-305
0,5,32,2.58287964578526e-305
0,5,33,2.5828796467755247e-305
0,5,34,2.582879647765799e-305
0,5,35,2.582879648756064e-305
0,5,36,2.582879649750594e-305
0,5,37,2.582879650740865e-305
0,5,38,2.5828796517311236e-305
0,5,39,2.5828796527213884e-305
0,5,40,2.582879653711653e-305
0,5,41,2.582879654701918e-305
0,5,42,2.5828796556921827e-305
0,5,43,2.5828796566824474e-305
0,5,44,2.582879657672742e-305
0,5,45,2.582879658662978e-305
0,5,46,2.5828796596489596e-305
0,5,47,2.5828796606392244e-305
0,5,48,2.582879661629489e-305
0,5,49,2.582879662619754e-305
0,5,50,2.5828796636100187e-305
0,5,51,2.5828796646002835e-305
0,5,52,2.582879665590548e-305
0,5,53,2.5828796665808125e-305
0,5,54,2.5828796675710773e-305
0,5,55,2.582879668561342e-305
0,5,56,2.582879669551607e-305
0,5,57,2.5828796705418716e-305
0,5,58,2.5828796715321363e-305
0,5,59,2.582879672522401e-305
0,6,0,2.5828796735126654e-305
0,6,1,2.582879644794989e-305
0,6,2,2.582879645785254e-305
0,6,3,2.5828796467755186e-305
0,6,4,2.5828796477657834e-305
0,6,5,2.582879648756048e-305
0,6,6,2.582879649746313e-305
0,6,7,2.5828796507365777e-305
0,6,8,2.582879651726842e-305
0,6,9,2.5828796527171067e-305
0,6,10,2.5828796537073715e-305
0,6,11,2.5828796546976363e-305
0,6,12,2.582879655687901e-305
0,6,13,2.582879656678166e-305
0,6,14,2.5828796576684306e-305
0,6,15,2.582879658658695e-305
0,6,16,2.5828796596489596e-305
0,6,17,2.5828796606392244e-305
0,6,18,2.582879661629489e-305
0,6,19,2.582879662619754e-305
0,6,20,2.5828796636100187e-305
0,6,21,2.582879664600284e-305
0,6,22,2.5828796655905174e-305
0,6,23,2.582879666580782e-305
0,6,24,2.5828796675710464e-305
0,6,25,2.582879668561311e-305
0,6,26,2.582879669551576e-305
0,6,27,2.5828796705418407e-305
0,6,28,2.5828796715321055e-305
0,6,29,2.5828796725223703e-305
0,6,30,2.582879673512635e-305
0,6,31,2.5828796447949587e-305
0,6,32,2.582879645785223e-305
0,6,33,2.582879646775488e-305
0,6,34,2.5828796477657525e-305
0,6,35,2.5828796487560173e-305
0,6,36,2.582879649750563e-305
0,6,37,2.582879650740834e-305
0,6,38,2.582879651731093e-305
0,6,39,2.5828796527213575e-305
0,6,40,2.5828796537116223e-305
0,6,41,2.582879654701887e-305
0,6,42,2.582879655692152e-305
0,6,43,2.5828796566824166e-305
0,6,44,2.5828796576727107e-305
0,6,45,2.5828796586629466e-305
0,6,46,2.5828796596489293e-305
0,6,47,2.5828796606391935e-305
0,6,48,2.5828796616294583e-305
0,6,49,2.582879662619723e-305
0,6,50,2.582879663609988e-305
0,6,51,2.5828796646002526e-305
0,6,52,2.5828796655905174e-305
0,6,53,2.582879666580782e-305
0,6,54,2.5828796675710464e-305
0,6,55,2.582879668561311e-305
0,6,56,2.582879669551576e-305
0,6,57,2.5828796705418407e-305
0,6,58,2.5828796715321055e-305
0,6,59,2.582879672522402e-305
0,7,0,2.582879673512667e-305
0,7,1,2.58287964479499e-305
0,7,2,2.582879645785255e-305
0,7,3,2.5828796467755196e-305
0,7,4,2.5828796477657844e-305
0,7,5,2.582879648756049e-305
0,7,6,2.582879649746314e-305
0,7,7,2.5828796507365787e-305
0,7,8,2.5828796517268435e-305
0,7,9,2.5828796527171077e-305
0,7,10,2.5828796537073725e-305
0,7,11,2.5828796546976373e-305
0,7,12,2.582879655687902e-305
0,7,13,2.582879656678167e-305
0,7,14,2.5828796576684316e-305
0,7,15,2.5828796586586964e-305
0,7,16,2.5828796596489606e-305
0,7,17,2.5828796606392254e-305
0,7,18,2.58287966162949e-305
0,7,19,2.582879662619755e-305
0,7,20,2.5828796636100197e-305
0,7,21,2.5828796646002845e-305
0,7,22,2.582879665590549e-305
0,7,23,2.582879666580814e-305
0,7,24,2.5828796675710783e-305
0,7,25,2.582879668561343e-305
0,7,26,2.582879669551608e-305
0,7,27,2.5828796705418726e-305
0,7,28,2.5828796715321374e-305
0,7,29,2.582879672522402e-305
0,7,30,2.582879673512667e-305
0,7,31,2.58287964479499e-305
0,7,32,2.582879645785255e-305
0,7,33,2.5828796467755196e-305
0,7,34,2.5828796477657844e-305
0,7,35,2.582879648756049e-305
0,7,36,2.582879649750595e-305
0,7,37,2.582879650740866e-305
0,7,38,2.5828796517311246e-305
0,7,39,2.5828796527213894e-305
0,7,40,2.582879653711654e-305
0,7,41,2.582879654701919e-305
0,7,42,2.5828796556921837e-305
0,7,43,2.5828796566824484e-305
0,7,44,2.5828796576727426e-305
0,7,45,2.582879658662979e-305
0,7,46,2.5828796596489606e-305
0,7,47,2.5828796606392254e-305
0,7,48,2.58287966162949e-305
0,7,49,2.582879662619755e-305
0,7,50,2.5828796636100197e-305
0,7,51,2.5828796646002845e-305
0,7,52,2.582879665590549e-305
0,7,53,2.582879666580814e-305
0,7,54,2.5828796675710783e-305
0,7,55,2.582879668561343e-305
0,7,56,2.582879669551608e-305
0,7,57,2.5828796705418726e-305
0,7,58,2.5828796715321374e-305
0,7,59,2.582879672522402e-305
0,8,0,2.582879673512667e-305
0,8,1,2.58287964479499e-305
0,8,2,2.582879645785255e-305
0,8,3,2.5828796467755196e-305
0,8,4,2.5828796477657844e-305
0,8,5,2.582879648756049e-305
0,8,6,2.582879649746314e-305
0,8,7,2.5828796507365787e-305
0,8,8,2.5828796517268435e-305
0,8,9,2.5828796527171077e-305
0,8,10,2.5828796537073725e-305
0,8,11,2.5828796546976373e-305
0,8,12,2.582879655687902e-305
0,8,13,2.582879656678167e-305
0,8,14,2.5828796576684316e-305
0,8,15,2.5828796586586964e-305
0,8,16,2.5828796596489606e-305
0,8,17,2.5828796606392254e-305
0,8,18,2.5828796616294907e-305
0,8,19,2.5828796626197554e-305
0,8,20,2.58287966361002e-305
0,8,21,2.582879664600285e-305
0,8,22,2.58287966559055e-305
0,8,23,2.5828796665808145e-305
0,8,24,2.582879667571079e-305
0,8,25,2.5828796685613436e-305
0,8,26,2.5828796695516083e-305
0,8,27,2.582879670541873e-305
0,8,28,2.582879671532138e-305
0,8,29,2.5828796725224026e-305
0,8,30,2.5828796735126674e-305
0,8,31,2.582879644794991e-305
0,8,32,2.5828796457852554e-305
0,8,33,2.58287964677552e-305
0,8,34,2.582879647765785e-305
0,8,35,2.5828796487560497e-305
0,8,36,2.5828796497505956e-305
0,8,37,2.582879650740866e-305
0,8,38,2.5828796517311256e-305
0,8,39,2.58287965272139e-305
0,8,40,2.5828796537116546e-305
0,8,41,2.5828796547019194e-305
0,8,42,2.582879655692184e-305
0,8,43,2.582879656682449e-305
0,8,44,2.582879657672743e-305
0,8,45,2.582879658662979e-305
0,8,46,2.5828796596489616e-305
0,8,47,2.582879660639226e-305
0,8,48,2.5828796616294907e-305
0,8,49,2.5828796626197554e-305
0,8,50,2.58287966361002e-305
0,8,51,2.582879664600285e-305
0,8,52,2.58287966559055e-305
0,8,53,2.5828796665808145e-305
0,8,54,2.582879667571079e-305
0,8,55,2.5828796685613436e-305
0,8,56,2.5828796695516083e-305
0,8,57,2.582879670541873e-305
0,8,58,2.582879671532138e-305
0,8,59,2.5828796725224026e-305
0,9,0,2.5828796735126674e-305
0,9,1,2.582879644794991e-305
0,9,2,2.5828796457852554e-305
0,9,3,2.58287964677552e-305
0,9,4,2.582879647765785e-305
0,9,5,2.5828796487560497e-305
0,9,6,2.5828796497463144e-305
0,9,7,2.582879650736579e-305
0,9,8,2.582879651726844e-305
0,9,9,2.582879652717108e-305
0,9,10,2.582879653707373e-305
0,9,11,2.582879654697638e-305
0,9,12,2.5828796556879026e-305
0,9,13,2.5828796566781673e-305
0,9,14,2.582879657668432e-305
0,9,15,2.582879658658697e-305
0,9,16,2.5828796596489616e-305
0,9,17,2.582879660639226e-305
0,9,18,2.5828796616294907e-305
0,9,19,2.5828796626197554e-305
0,9,20,2.58287966361002e-305
0,9,21,2.582879664600285e-305
0,9,22,2.58287966559055e-305
0,9,23,2.5828796665808145e-305
0,9,24,2.582879667571079e-305
0,9,25,2.5828796685613436e-305
0,9,26,2.5828796695516083e-305
0,9,27,2.582879670541873e-305
0,9,28,2.582879671532138e-305
0,9,29,2.5828796725224026e-305
0,9,30,2.5828796735126674e-305
0,9,31,2.582879644794991e-305
0,9,32,2.5828796457852554e-305
0,9,33,2.58287964677552e-305
0,9,34,2.582879647765785e-305
0,9,35,2.5828796487560497e-305
0,9,36,2.5828796497505956e-305
0,9,37,2.5828796507408664e-305
0,9,38,2.5828796517311256e-305
0,9,39,2.58287965272139e-305
0,9,40,2.5828796537116546e-305
0,9,41,2.5828796547019194e-305
0,9,42,2.582879655692184e-305
0,9,43,2.582879656682449e-305
0,9,44,2.582879657672743e-305
0,9,45,2.582879658662979e-305
0,9,46,2.5828796596489616e-305
0,9,47,2.582879660639226e-305
0,9,48,2.5828796616294907e-305
0,9,49,2.5828796626197554e-305
0,9,50,2.58287966361002e-305
0,9,51,2.582879664600285e-305
0,9,52,2.58287966559055e-305
0,9,53,2.5828796665808145e-305
0,9,54,2.582879667571079e-305
0,9,55,2.5828796685613436e-305
0,9,56,2.5828796695516083e-305
0,9,57,2.582879670541873e-305
0,9,58,2.582879671532138e-305
0,9,59,2.5828796725224026e-305
0,10,0,2.5828796735126674e-305
0,10,1,2.582879644794991e-305
0,10,2,2.5828796457852554e-305
0,10,3,2.58287964677552e-305
0,10,4,2.582879647765785e-305
0,10,5,2.5828796487560497e-305
0,10,6,2.5828796497463144e-305
0,10,7,2.582879650736579e-305
0,10,8,2.582879651726844e-305
0,10,9,2.582879652717108e-305
0,10,10,2.582879653707373e-305
0,10,11,2.582879654697638e-305
0,10,12,2.5828796556879026e-305
0,10,13,2.5828796566781673e-305
0,10,14,2.582879657668432e-305
0,10,15,2.5828796586586974e-305
0,10,16,2.582879659648962e-305
0,10,17,2.582879660639226e-305
0,10,18,2.582879661629491e-305
0,10,19,2.582879662619756e-305
0,10,20,2.5828796636100207e-305
0,10,21,2.5828796646002855e-305
0,10,22,2.5828796655905503e-305
0,10,23,2.582879666580815e-305
0,10,24,2.58287966757108e-305
0,10,25,2.582879668561344e-305
0,10,26,2.582879669551609e-305
0,10,27,2.5828796705418736e-305
0,10,28,2.5828796715321384e-305
0,10,29,2.582879672522403e-305
0,10,30,2.582879673512668e-305
0,10,31,2.5828796447949916e-305
0,10,32,2.582879645785256e-305
0,10,33,2.5828796467755206e-305
0,10,34,2.5828796477657854e-305
0,10,35,2.58287964875605e-305
0,10,36,2.582879649750596e-305
0,10,37,2.5828796507408664e-305
0,10,38,2.582879651731126e-305
0,10,39,2.5828796527213904e-305
0,10,40,2.582879653711655e-305
0,10,41,2.58287965470192e-305
0,10,42,2.5828796556921847e-305
0,10,43,2.5828796566824495e-305
0,10,44,2.5828796576727436e-305
0,10,45,2.5828796586629795e-305
0,10,46,2.582879659648962e-305
0,10,47,2.5828796606392264e-305
0,10,48,2.582879661629491e-305
0,10,49,2.582879662619756e-305
0,10,50,2.5828796636100207e-305
0,10,51,2.5828796646002855e-305
0,10,52,2.5828796655905503e-305
0,10,53,2.582879666580815e-305
0,10,54,2.58287966757108e-305
0,10,55,2.582879668561344e-305
0,10,56,2.582879669551609e-305
0,10,57,2.5828796705418736e-305
0,10,58,2.5828796715321384e-305
0,10,59,2.582879672522403e-305
0,11,0,2.582879673512668e-305
0,11,1,2.5828796447949916e-305
0,11,2,2.582879645785256e-305
0,11,3,2.5828796467755206e-305
0,11,4,2.5828796477657854e-305
0,11,5,2.582879648756034e-305
0,11,6,2.582879649746299e-305
0,11,7,2.5828796507365635e-305
0,11,8,2.5828796517268283e-305
0,11,9,2.582879652717093e-305
0,11,10,2.5828796537073573e-305
0,11,11,2.582879654697622e-305
0,11,12,2.582879655687887e-305
0,11,13,2.5828796566781516e-305
0,11,14,2.5828796576684164e-305
0,11,15,2.582879658658681e-305
0,11,16,2.582879659648946e-305
0,11,17,2.58287966063921e-305
0,11,18,2.582879661629475e-305
0,11,19,2.58287966261974e-305
0,11,20,2.5828796636100045e-305
0,11,21,2.5828796646002693e-305
0,11,22,2.582879665590534e-305
0,11,23,2.582879666580799e-305
0,11,24,2.5828796675710636e-305
0,11,25,2.582879668561328e-305
0,11,26,2.5828796695515926e-305
0,11,27,2.5828796705418574e-305
0,11,28,2.582879671532122e-305
0,11,29,2.582879672522387e-305
0,11,30,2.5828796735126517e-305
0,11,31,2.5828796447949754e-305
0,11,32,2.5828796457852397e-305
0,11,33,2.5828796467755044e-305
0,11,34,2.582879647765769e-305
0,11,35,2.582879648756034e-305
0,11,36,2.58287964975058e-305
0,11,37,2.5828796507408507e-305
0,11,38,2.58287965173111e-305
0,11,39,2.582879652721374e-305
0,11,40,2.582879653711639e-305
0,11,41,2.5828796547019037e-305
0,11,42,2.5828796556921685e-305
0,11,43,2.5828796566824333e-305
0,11,44,2.5828796576727274e-305
0,11,45,2.5828796586629633e-305
0,11,46,2.582879659648946e-305
0,11,47,2.58287966063921e-305
0,11,48,2.582879661629475e-305
0,11,49,2.58287966261974e-305
0,11,50,2.5828796636100045e-305
0,11,51,2.5828796646002693e-305
0,11,52,2.582879665590534e-305
0,11,53,2.582879666580799e-305
0,11,54,2.5828796675710636e-305
0,11,55,2.582879668561328e-305
0,11,56,2.5828796695515926e-305
0,11,57,2.5828796705418574e-305
0,11,58,2.582879671532122e-305
0,11,59,2.582879672522387e-305
0,12,0,2.5828796735126517e-305
0,12,1,2.5828796447949754e-305
0,12,2,2.5828796457852397e-305
0,12,3,2.5828796467755044e-305
0,12,4,2.582879647765769e-305
0,12,5,2.582879648756034e-305
0,12,6,2.582879649746299e-305
0,12,7,2.5828796507365635e-305
0,12,8,2.5828796517268283e-305
0,12,9,2.582879652717093e-305
0,12,10,2.5828796537073573e-305
0,12,11,2.582879654697622e-305
0,12,12,2.582879655687887e-305
0,12,13,2.5828796566781516e-305
0,12,14,2.5828796576684164e-305
0,12,15,2.582879658658681e-305
0,12,16,2.582879659648946e-305
0,12,17,2.58287966063921e-305
0,12,18,2.582879661629475e-305
0,12,19,2.58287966261974e-305
0,12,20,2.5828796636100045e-305
0,12,21,2.5828796646002693e-305
0,12,22,2.582879665590534e-305
0,12,23,2.582879666580799e-305
0,12,24,2.5828796675710636e-305
0,12,25,2.582879668561328e-305
0,12,26,2.5828796695515926e-305
0,12,27,2.5828796705418574e-305
0,12,28,2.582879671532122e-305
0,12,29,2.582879672522387e-305
0,12,30,2.5828796735126517e-305
0,12,31,2.5828796447949754e-305
0,12,32,2.5828796457852397e-305
0,12,33,2.5828796467755044e-305
0,12,34,2.582879647765769e-305
0,12,35,2.582879648756034e-305
0,12,36,2.5828796497505804e-305
0,12,37,2.5828796507408507e-305
0,12,38,2.5828796517311104e-305
0,12,39,2.582879652721375e-305
0,12,40,2.5828796537116395e-305
0,12,41,2.582879654701904e-305
0,12,42,2.582879655692169e-305
0,12,43,0.0004405555555555555
0,12,44,0.0004405555555555555
0,12,45,0.0004405555555555555
0,12,46,0.0004405555555555555
0,12,47,0.0004405555555555555
0,12,48,0.0004405555555555555
0,12,49,0.0004405555555555555
0,12,50,0.0004405555555555555
0,12,51,0.0004405555555555555
0,12,52,0.0004405555555555555
0,12,53,0.0004405555555555555
0,12,54,0.0004405555555555555
0,12,55,0.0004405555555555555
0,12,56,0.0004405555555555555
0,12,57,0.0004405555555555555
0,12,58,0.0004405555555555555
0,12,59,0.0004405555555555555
0,13,0,0.0004405555555555555
0,13,1,0.0017394444444444447
0,13,2,0.0017394444444444447
0,13,3,0.0017394444444444447
0,13,4,0.0017394444444444447
0,13,5,0.0017394444444444447
0,13,6,0.0017394444444444447
0,13,7,0.0017394444444444447
0,13,8,0.0017394444444444447
0,13,9,0.0017394444444444447
0,13,10,0.0017394444444444447
0,13,11,0.0017394444444444447
0,13,12,0.0017394444444444447
0,13,13,0.002050555555555556
0,13,14,0.002050555555555556
0,13,15,0.002050555555555556
0,13,16,0.002050555555555556
0,13,17,0.002050555555555556
0,13,18,0.002050555555555556
0,13,19,0.002050555555555556
0,13,20,0.002050555555555556
0,13,21,0.002050555555555556
0,13,22,0.002050555555555556
0,13,23,0.002050555555555556
0,13,24,0.002050555555555556
0,13,25,0.002050555555555556
0,13,26,0.002050555555555556
0,13,27,0.002050555555555556
0,13,28,0.002050555555555556
0,13,29,0.002050555555555556
